Year,Team,Record,Winning Percentage,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2016-17,Celtics,25-15,0.625,,,,,,
2015-16,Celtics,48-34,0.585,,,,,,
2014-15,Celtics,40-42,0.488,,,,,,
2013-14,Celtics,25-57,0.305,,,,,,
2012-13,Celtics,41-40,0.506,,,,,,
2011-12 *,Celtics,39-27,0.591,,,,,,
2010-11-01 00:00:00,Celtics,56-26,0.683,,,,,,
2009-10-01 00:00:00,Celtics,50-32,0.61,,,,,,
2008-09-01 00:00:00,Celtics,62-20,0.756,,,,,,
2007-08-01 00:00:00,Celtics,66-16,0.805,,,,,,
2006-07-01 00:00:00,Celtics,24-58,0.293,,,,,,
2005-06-01 00:00:00,Celtics,33-49,0.402,,,,,,
2004-05-01 00:00:00,Celtics,45-37,0.549,,,,,,
2003-04-01 00:00:00,Celtics,36-46,0.439,,,,,,
2002-03-01 00:00:00,Celtics,44-38,0.537,,,,,,
2001-02-01 00:00:00,Celtics,49-33,0.598,,,,,,
2000-01-01 00:00:00,Celtics,36-46,0.439,,,,,,
1999-00,Celtics,35-47,0.427,,,,,,
1998-99 *,Celtics,19-31,0.38,,,,,,
1997-98,Celtics,36-46,0.439,,,,,,
1996-97,Celtics,15-67,0.183,,,,,,
1995-96,Celtics,33-49,0.402,,,,,,
1994-95,Celtics,35-47,0.427,,,,,,
1993-94,Celtics,32-50,0.39,,,,,,
1992-93,Celtics,48-34,0.585,,,,,,
1991-92,Celtics,51-31,0.622,,,,,,
1990-91,Celtics,56-26,0.683,,,,,,
1989-90,Celtics,52-30,0.634,,,,,,
1988-89,Celtics,42-40,0.512,,,,,,
1987-88,Celtics,57-25,0.695,,,,,,
1986-87,Celtics,59-23,0.72,,,,,,
1985-86,Celtics,67-15,0.817,,,,,,
1984-85,Celtics,63-19,0.768,,,,,,
1983-84,Celtics,62-20,0.756,,,,,,
1982-83,Celtics,56-26,0.683,,,,,,
1981-82,Celtics,63-19,0.768,,,,,,
1980-81,Celtics,62-20,0.756,,,,,,
1979-80,Celtics,61-21,0.744,,,,,,
1978-79,Celtics,29-53,0.354,,,,,,
1977-78,Celtics,32-50,0.39,,,,,,
1976-77,Celtics,44-38,0.537,,,,,,
1975-76,Celtics,54-28,0.659,,,,,,
1974-75,Celtics,60-22,0.732,,,,,,
1973-74,Celtics,56-26,0.683,,,,,,
1972-73,Celtics,68-14,0.829,,,,,,
1971-72,Celtics,56-26,0.683,,,,,,
1970-71,Celtics,44-38,0.537,,,,,,
1969-70,Celtics,34-48,0.415,,,,,,
1968-69,Celtics,48-34,0.585,,,,,,
1967-68,Celtics,54-28,0.659,,,,,,
1966-67,Celtics,60-21,0.741,,,,,,
1965-66,Celtics,54-26,0.675,,,,,,
1964-65,Celtics,62-18,0.775,,,,,,
1963-64,Celtics,59-21,0.738,,,,,,
1962-63,Celtics,58-22,0.725,,,,,,
1961-62,Celtics,60-20,0.75,,,,,,
1960-61,Celtics,57-22,0.722,,,,,,
1959-60,Celtics,59-16,0.787,,,,,,
1958-59,Celtics,52-20,0.722,,,,,,
1957-58,Celtics,49-23,0.681,,,,,,
1956-57,Celtics,44-28,0.611,,,,,,
1955-56,Celtics,39-33,0.542,,,,,,
1954-55,Celtics,36-36,0.5,,,,,,
1953-54,Celtics,42-30,0.583,,,,,,
1952-53,Celtics,46-25,0.648,,,,,,
1951-52,Celtics,39-27,0.591,,,,,,
1950-51,Celtics,39-30,0.565,,,,,,
1949-50,Celtics,22-46,0.324,,,,,,
1948-49,Celtics,25-35,0.417,,,,,,
1947-48,Celtics,20-28,0.417,,,,,,
1946-47,Celtics,22-38,0.367,,,,,,
